periodName,value,state
June,7.5,Alabama
May,9.6,Alabama
April,13.8,Alabama
March,3,Alabama
February,2.7,Alabama
January,2.7,Alabama
June,12.4,Alaska
May,12.7,Alaska
April,13.5,Alaska
March,5.2,Alaska
February,5.8,Alaska
January,6,Alaska
June,10,Arizona
May,9,Arizona
April,13.4,Arizona
March,6.1,Arizona
February,4.5,Arizona
January,4.5,Arizona
June,8,Arkansas
May,9.6,Arkansas
April,10.8,Arkansas
March,5,Arkansas
February,3.5,Arkansas
January,3.5,Arkansas
June,14.9,California
May,16.4,California
April,16.4,California
March,5.5,California
February,3.9,California
January,3.9,California
June,10.5,Colorado
May,10.2,Colorado
April,12.2,Colorado
March,5.2,Colorado
February,2.5,Colorado
January,2.5,Colorado
June,9.8,Connecticut
May,9.6,Connecticut
April,8.3,Connecticut
March,3.4,Connecticut
February,3.8,Connecticut
January,3.7,Connecticut
June,12.5,Delaware
May,15.9,Delaware
April,14.9,Delaware
March,5,Delaware
February,3.9,Delaware
January,4,Delaware
June,8.6,District of Columbia
May,8.8,District of Columbia
April,11.7,District of Columbia
March,6,District of Columbia
February,5.1,District of Columbia
January,5.2,District of Columbia
June,10.4,Florida
May,13.7,Florida
April,13.8,Florida
March,4.4,Florida
February,2.8,Florida
January,2.8,Florida
June,7.6,Georgia
May,9.4,Georgia
April,12.6,Georgia
March,4.6,Georgia
February,3.1,Georgia
January,3.1,Georgia
June,13.9,Hawaii
May,23.5,Hawaii
April,23.8,Hawaii
March,2.4,Hawaii
February,2.7,Hawaii
January,2.7,Hawaii
June,5.6,Idaho
May,9,Idaho
April,11.8,Idaho
March,2.5,Idaho
February,2.7,Idaho
January,2.8,Idaho
June,14.6,Illinois
May,15.3,Illinois
April,17.2,Illinois
March,4.2,Illinois
February,3.4,Illinois
January,3.5,Illinois
June,11.2,Indiana
May,12.3,Indiana
April,17.5,Indiana
March,3,Indiana
February,3.1,Indiana
January,3.1,Indiana
June,8,Iowa
May,10.2,Iowa
April,11,Iowa
March,3.3,Iowa
February,2.8,Iowa
January,2.8,Iowa
June,7.5,Kansas
May,10,Kansas
April,11.9,Kansas
March,2.8,Kansas
February,3.1,Kansas
January,3.1,Kansas
June,4.3,Kentucky
May,10.9,Kentucky
